Potential/V,Current/A
0.556,0.06509
0.557,0.06543
0.558,0.06574
0.559,0.06609
0.56,0.06641
0.561,0.06675
0.562,0.06708
0.563,0.06742
0.564,0.06773
0.565,0.06806
0.566,0.06836
0.567,0.06868
0.568,0.06899
0.569,0.06932
0.57,0.06962
0.571,0.06995
0.572,0.07026
0.573,0.07057
0.574,0.0709
0.575,0.07122
0.576,0.07152
0.577,0.07183
0.578,0.07212
0.579,0.07242
0.58,0.07272
0.581,0.07303
0.582,0.07331
0.583,0.07361
0.584,0.07391
0.585,0.07421
0.586,0.07451
0.587,0.07481
0.588,0.07508
0.589,0.07536
0.59,0.07565
0.591,0.07594
0.592,0.07623
0.593,0.0765
0.594,0.07678
0.595,0.07705
0.596,0.07733
0.597,0.0776
0.598,0.07789
0.599,0.07815
0.6,0.07843
0.601,0.07869
0.602,0.07896
0.603,0.07921
0.604,0.07947
0.605,0.07971
0.606,0.07997
0.607,0.08022
0.608,0.08049
0.609,0.08073
0.61,0.08099
0.611,0.08123
0.612,0.08148
0.613,0.08171
0.614,0.08196
0.615,0.08218
0.616,0.08242
0.617,0.08265
0.618,0.08289
0.619,0.08311
0.62,0.08336
0.621,0.08356
0.622,0.08378
0.623,0.08398
0.624,0.08419
0.625,0.08439
0.626,0.08461
0.627,0.08479
0.628,0.085
0.629,0.08517
0.63,0.08538
0.631,0.08557
0.632,0.08577
0.633,0.08592
0.634,0.08611
0.635,0.08626
0.636,0.08644
0.637,0.08659
0.638,0.08676
0.639,0.08692
0.64,0.08711
0.641,0.08725
0.642,0.08743
0.643,0.08755
0.644,0.08771
0.645,0.08785
0.646,0.08799
0.647,0.0881
0.648,0.08824
0.649,0.08833
0.65,0.08847
0.651,0.0886
0.652,0.08873
0.653,0.08883
0.654,0.08896
0.655,0.08905
0.656,0.0892
0.657,0.08931
0.658,0.08945
0.659,0.08956
0.66,0.08969
0.661,0.08979
0.662,0.08992
0.663,0.09004
0.664,0.09017
0.665,0.0903
0.666,0.09043
0.667,0.09052
0.668,0.09067
0.669,0.09079
0.67,0.09094
0.671,0.09108
0.672,0.09122
0.673,0.09135
0.674,0.09152
0.675,0.09168
0.676,0.09185
0.677,0.09199
0.678,0.09214
0.679,0.09229
0.68,0.09248
0.681,0.09267
0.682,0.09289
0.683,0.09308
0.684,0.09329
0.685,0.0935
0.686,0.09372
0.687,0.09393
0.688,0.09419
0.689,0.09443
0.69,0.0947
0.691,0.09496
0.692,0.09524
0.693,0.0955
0.694,0.0958
0.695,0.09607
0.696,0.09636
0.697,0.09664
0.698,0.09697
0.699,0.09727
0.7,0.09763
0.701,0.09796
0.702,0.09832
0.703,0.09865
0.704,0.09902
0.705,0.09935
0.706,0.09971
0.707,0.1001
0.708,0.1004
0.709,0.1008
0.71,0.1012
0.711,0.1015
0.712,0.1019
0.713,0.1023
0.714,0.1027
0.715,0.1031
0.716,0.1035
0.717,0.1039
0.718,0.1043
0.719,0.1047
0.72,0.1052
0.721,0.1056
0.722,0.106
0.723,0.1065
0.724,0.1069
0.725,0.1073
0.726,0.1077
0.727,0.1082
0.728,0.1086
0.729,0.109
0.73,0.1095
0.731,0.1099
0.732,0.1104
0.733,0.1109
0.734,0.1113
0.735,0.1118
0.736,0.1122
0.737,0.1127
0.738,0.1131
0.739,0.1136
0.74,0.1141
0.741,0.1145
0.742,0.115
0.743,0.1155
0.744,0.116
0.745,0.1164
0.746,0.1169
0.747,0.1174
0.748,0.1178
